Date,EstimatedTransactionVolUSD
2017-07-30,1157398139.86185
2017-08-01,1380839765.70984
2017-08-03,958777484.712287
2017-08-05,979154079.251385
2017-08-07,1372173977.9991
2017-08-09,808740219.23306
2017-08-11,985601487.693678
2017-08-13,946915671.514233
2017-08-15,1222636276.20764
2017-08-17,1362840510.69978
2017-08-19,1278649849.03806
2017-08-21,816604742.108505
2017-08-23,1053263975.41305
2017-08-25,763980859.57522
2017-08-27,779804114.064676
2017-08-29,1113343542.50353
2017-08-31,1173285283.32277
2017-09-02,945272819.329301
2017-09-04,1452488599.68739
2017-09-06,1328829016.12437
2017-09-08,1085398538.24465
2017-09-10,849737599.424126
2017-09-12,914888950.878182
2017-09-14,1008072397.20311
2017-09-16,755451379.92034
2017-09-18,810015857.700415
2017-09-20,730398025.90811
2017-09-22,720084890.797891
2017-09-24,358367841.780327
2017-09-26,783377529.605634
2017-09-28,846414368.613928
2017-09-30,654917752.443883
2017-10-02,853330484.106655
2017-10-04,611184779.702613
2017-10-06,731048570.243785
2017-10-08,678141979.346104
2017-10-10,1189113919.87786
2017-10-12,1072717734.6568
2017-10-14,1028513971.64553
2017-10-16,1148993979.04203
2017-10-18,1358005108.51815
2017-10-20,1094088679.1563
2017-10-22,996113498.470227
2017-10-24,2184205097.23059
2017-10-26,2041879050.78017
2017-10-28,645357529.902608
2017-10-30,1690377715.98444
2017-11-01,1921728654.83974
2017-11-03,1685749159.21425
2017-11-05,1346375105.55772
2017-11-07,1826864277.44738
2017-11-09,2366841243.84241
2017-11-11,1401933562.52815
2017-11-13,2070829566.4518
2017-11-15,2274507065.39276
2017-11-17,2848162964.48163
2017-11-19,1585417383.6025
2017-11-21,2632881286.5975
2017-11-23,2481622640.96218
2017-11-25,2302620556.51406
2017-11-27,3382462034.24211
2017-11-29,4301831779.47883
2017-12-01,2503164990.16471
2017-12-03,2065023836.1632
2017-12-05,2657542627.73794
2017-12-07,5271885974.64757
2017-12-09,3943426403.66603
2017-12-11,4272284928.33151
2017-12-13,4755215235.39204
2017-12-15,4219284344.1263
2017-12-17,5098289901.58077
2017-12-19,3906879033.08123
2017-12-21,3765982142.63797
2017-12-23,2381107619.03715
2017-12-25,2523983332.05314
2017-12-27,4777859401.98801
2017-12-29,3675013582.32083
2017-12-31,3132315786.3277
2018-01-02,3339191213.7855
2018-01-04,3959988059.41157
2018-01-06,3788672792.27674
2018-01-08,4095843401.55246
2018-01-10,3681293160.51603
2018-01-12,3201370800.58497
2018-01-14,2648247577.87206
2018-01-16,3280040384.20681
2018-01-18,2771757628.41474
2018-01-20,2591920373.50638
2018-01-22,2235518464.56961
2018-01-24,2043489449.82019
2018-01-26,2828780181.62246
2018-01-28,1946407701.49201
2018-01-30,1846238745.01739
2018-02-01,2614260637.5456
2018-02-03,1469365012.8785
2018-02-05,1950770956.61802
2018-02-07,1651883624.31755
2018-02-09,1627521235.26492
2018-02-11,725944269.577221
2018-02-13,1266134857.40392
2018-02-15,1273384159.19045
2018-02-17,862408575.113852
2018-02-19,1250363981.08978
2018-02-20,1499839827.37536
2018-02-21,1582027830.28817
2018-02-22,2569053251.11412
2018-02-23,1752604869.4962
2018-02-24,1691425255.69263
2018-02-25,735383768.774946
2018-02-26,1085982484.71539
2018-02-27,1471584179.61286
2018-02-28,2141873922.79825
2018-03-01,2017041859.63693
2018-03-02,1313477097.70807
2018-03-03,1044510356.00801
2018-03-04,1038040067.99342
2018-03-05,1573034810.84033
2018-03-06,1313036217.13425
2018-03-07,1632297968.61173
2018-03-08,1400448401.50846
2018-03-09,1845969389.06628
2018-03-10,1007063308.86199
2018-03-11,990148653.737742
2018-03-12,1128481461.10965
2018-03-13,1429321787.63685
2018-03-14,1315191652.6286
2018-03-15,1197812277.26368
2018-03-16,956584957.002353
2018-03-17,709540062.340732
2018-03-18,817452712.514831
2018-03-19,1122451343.20668
2018-03-20,995164628.417782
2018-03-21,1045367812.30046
2018-03-22,990650088.556166
2018-03-23,942170172.519648
2018-03-24,623816401.961253
2018-03-25,901137748.465333
2018-03-26,1020516865.12928
2018-03-27,947745397.417293
2018-03-28,854240309.445948
2018-03-29,1120831366.94695
2018-03-30,1222424226.86149
2018-03-31,559075148.77362
2018-04-01,580329069.034802
2018-04-02,768333587.034114
2018-04-03,979510265.303481
2018-04-04,788206668.206622
2018-04-05,757321484.524495
2018-04-06,720018556.313689
2018-04-07,653582260.43181
2018-04-08,563967121.149313
2018-04-09,787438242.266748
2018-04-10,812498863.15906
2018-04-11,944639313.553063
2018-04-12,1355733106.53215
2018-04-13,1154400878.6438
2018-04-14,516931824.839407
2018-04-15,557096715.843899
2018-04-16,874622524.380565
2018-04-17,933802321.600287
2018-04-18,826568991.032139
2018-04-19,1375773424.07329
2018-04-20,1105686984.46496
2018-04-21,995169153.726345
2018-04-22,674296002.598428
2018-04-23,1170233453.21339
2018-04-24,1754372889.85276
2018-04-25,1690055328.53289
2018-04-26,1356669104.25048
2018-04-27,1274803527.6643
2018-04-28,1663576172.91648
2018-04-29,1043832708.35065
2018-04-30,1039280676.98002
2018-05-01,852143458.967716
2018-05-02,1356043112.32921
2018-05-03,1292845454.07964
2018-05-04,1424167444.69354
2018-05-05,1032424172.16879
2018-05-06,990555813.193302
2018-05-07,1299195635.80706
2018-05-08,1305599529.85642
2018-05-09,1231496059.67689
2018-05-10,1367418842.25004
2018-05-11,1308283132.78675
2018-05-12,914542131.232237
2018-05-13,622325191.112393
2018-05-14,1877479922.51764
