Date,dates_count1
5/23/2017,107512561
5/24/2017,119647709
5/25/2017,103848425
5/26/2017,108851732.5
5/27/2017,106991705
5/28/2017,97035179
5/29/2017,92041549.75
5/30/2017,103435857
5/31/2017,100114538.5
6/1/2017,105104489.5
6/2/2017,102743600
6/3/2017,87399534
6/4/2017,89623170.5
6/5/2017,66188184
6/6/2017,64055478.5
6/7/2017,73241556.75
6/8/2017,58234333.5
6/9/2017,57214322.5
6/10/2017,51234227.5
6/11/2017,45417917.5
6/12/2017,42058155
6/13/2017,55931922.5
6/14/2017,57463774.5
6/15/2017,58160518
6/16/2017,49181039
6/17/2017,34986488.5
6/18/2017,28795969
6/19/2017,15715211.5
6/20/2017,14901593.5
6/21/2017,25420853
6/22/2017,29575199
6/23/2017,18949750.5
6/24/2017,16142143.25
6/25/2017,14693960.5
6/26/2017,17712052.5
6/27/2017,20497721.5
6/28/2017,12690945
6/29/2017,17512500.5
6/30/2017,17589576
7/1/2017,6148456.5
7/2/2017,6217881.5
7/3/2017,4931068.25
7/4/2017,14990088
7/5/2017,13413019
7/6/2017,22323082.5
7/7/2017,13227322.5
7/8/2017,8466098
7/9/2017,2211721.5
7/10/2017,2269860
7/11/2017,21844023
7/12/2017,27541864
7/13/2017,35117923.5
7/14/2017,37663648.5
7/15/2017,39042720
7/16/2017,24752684.5
7/17/2017,26835082.5
7/18/2017,24647588
7/19/2017,37677261
7/20/2017,36423868.5
7/21/2017,37860618.5
7/22/2017,18541810
7/23/2017,4324401
7/24/2017,2653588.5
7/25/2017,9464210.5
7/26/2017,20323945.5
7/27/2017,3293980
7/28/2017,1910391.5
7/29/2017,7952127.75
7/30/2017,4026682
7/31/2017,9335023.5
8/1/2017,1141774.5
8/2/2017,11789032
8/3/2017,2120663
8/4/2017,24416995
8/5/2017,16428915
8/6/2017,3001782.5
8/7/2017,36480594.5
8/8/2017,39264431.5
8/9/2017,38840122.5
8/10/2017,42420792.5
8/11/2017,53544061
8/12/2017,10385273
8/13/2017,17910292
8/14/2017,25994460
8/15/2017,50044160
8/16/2017,68565703
8/17/2017,50027482.5
8/18/2017,52469574
8/19/2017,51942348.5
8/20/2017,36724596
8/21/2017,44527945.5
8/22/2017,72831714.5
8/23/2017,78885859
8/24/2017,83609290
8/25/2017,102234720
8/26/2017,96967476
8/27/2017,67523438
8/28/2017,67044993.5
8/29/2017,65930504.5
8/30/2017,15045459
8/31/2017,31030371.5
9/1/2017,23714862.75
9/2/2017,4214211
9/3/2017,6107424.5
9/4/2017,8620107
9/5/2017,4497866
9/6/2017,6929775.5
9/7/2017,5497588.5
9/8/2017,4834680
9/9/2017,4142714
9/10/2017,5066785.75
9/11/2017,13976006
9/12/2017,4607340.5
9/13/2017,5550654.5
