Date,Price,Open,High,Low
8/26/2012,1672.4,1674.9,1675.4,1663.9
8/27/2012,1672.4,1674.9,1675.4,1663.9
8/28/2012,1666.5,1659.9,1671,1659.2
8/29/2012,1659.8,1667.2,1667.3,1665.2
8/30/2012,1653.5,1655.4,1662,1650.7
8/31/2012,1684.6,1658.6,1690,1646.2
9/1/2012,1692.9,1689.1,1698,1687.7
9/2/2012,1692.9,1689.1,1698,1687.7
9/3/2012,1692.9,1689.1,1698,1687.7
9/4/2012,1692.9,1689.1,1698,1687.7
9/5/2012,1690.8,1690.4,1693.3,1690.4
9/6/2012,1702.6,1696.4,1712.4,1696.4
9/7/2012,1737.5,1696.7,1738.2,1696.7
9/8/2012,1728.7,1733.1,1733.5,1727.2
9/9/2012,1728.7,1733.1,1733.5,1727.2
9/10/2012,1728.7,1733.1,1733.5,1727.2
9/11/2012,1731.8,1736,1736,1735.8
9/12/2012,1730.6,1742.2,1742.3,1730.5
9/13/2012,1769.1,1728.7,1767.5,1728.7
9/14/2012,1769.8,1771,1774.5,1766
9/15/2012,1767.7,1774.8,1774.8,1753.8
9/16/2012,1767.7,1774.8,1774.8,1753.8
9/17/2012,1767.7,1774.8,1774.8,1753.8
9/18/2012,1768.4,1766.3,1766.4,1766.3
9/19/2012,1769,1776,1778.5,1768
9/20/2012,1767.7,1769.1,1771.3,1759.7
9/21/2012,1775.5,1785.3,1785.3,1772.3
9/22/2012,1762.1,1762.1,1762.1,1762.1
9/23/2012,1762.1,1762.1,1762.1,1762.1
9/24/2012,1762.1,1762.1,1762.1,1762.1
9/25/2012,1763.8,1772.6,1772.7,1772.6
9/26/2012,1750.6,1762.8,1764.2,1737.6
9/27/2012,1777.6,1752.6,1780.2,1750.7
9/28/2012,1771.1,1776.8,1782.2,1767.5
9/29/2012,1780.5,1766,1791,1763.3
9/30/2012,1780.5,1766,1791,1763.3
10/1/2012,1780.5,1766,1791,1763.3
10/2/2012,1772.7,1777.9,1779.3,1773.1
10/3/2012,1777.3,1772.2,1779.9,1771.9
10/4/2012,1794.1,1783.5,1794.8,1783.5
10/5/2012,1778.6,1792.2,1792.2,1776.6
10/6/2012,1773.5,1778,1778,1766.8
10/7/2012,1773.5,1778,1778,1766.8
10/8/2012,1773.5,1778,1778,1766.8
10/9/2012,1763,1776.7,1776.7,1762.3
10/10/2012,1763.2,1762.4,1764.2,1758.1
10/11/2012,1768.8,1761.6,1771,1761.6
10/12/2012,1758,1769.5,1769.5,1753.6
10/13/2012,1736,1750,1750,1729.9
10/14/2012,1736,1750,1750,1729.9
10/15/2012,1736,1750,1750,1729.9
10/16/2012,1744.7,1736.7,1744.4,1736.6
10/17/2012,1751.5,1749.4,1750.7,1746
10/18/2012,1743.3,1749.1,1749.1,1740.5
10/19/2012,1722.8,1741.1,1741.1,1721
10/20/2012,1725.1,1715,1728.3,1715
10/21/2012,1725.1,1715,1728.3,1715
10/22/2012,1725.1,1715,1728.3,1715
10/23/2012,1708.3,1726.6,1728.5,1708.4
10/24/2012,1700.5,1708.4,1708.5,1698.6
10/25/2012,1712,1711.7,1716.7,1711.7
10/26/2012,1710.9,1706.1,1716.2,1706.1
10/27/2012,1707.7,1712,1712,1707
10/28/2012,1707.7,1712,1712,1707
10/29/2012,1707.7,1712,1712,1707
10/30/2012,1710.5,1709.1,1714.4,1709
10/31/2012,1717.5,1714.4,1724.5,1714.4
11/1/2012,1714.1,1722.3,1725.1,1714.9
11/2/2012,1674.1,1711.3,1711.3,1674.3
11/3/2012,1682.2,1682.8,1683.1,1674.3
11/4/2012,1682.2,1682.8,1683.1,1674.3
11/5/2012,1682.2,1682.8,1683.1,1674.3
11/6/2012,1714.1,1690.1,1718,1690.1
11/7/2012,1713.2,1707.7,1726.5,1703.7
11/8/2012,1725.4,1715.9,1729.6,1714.2
11/9/2012,1730.3,1733.7,1734.1,1727.6
11/10/2012,1730.3,1733.2,1734.9,1733.2
11/11/2012,1730.3,1733.2,1734.9,1733.2
11/12/2012,1730.3,1733.2,1734.9,1733.2
11/13/2012,1724.2,1721.6,1728.2,1718.5
11/14/2012,1729.5,1722,1727.7,1722
11/15/2012,1713.3,1724.9,1724.9,1706.3
11/16/2012,1714.3,1710,1713.8,1706.9
11/17/2012,1734,1721.8,1731,1721.8
11/18/2012,1734,1721.8,1731,1721.8
11/19/2012,1734,1721.8,1731,1721.8
11/20/2012,1723.2,1730.6,1731.1,1722.5
11/21/2012,1727.9,1725.8,1725.8,1725.8
11/22/2012,1751.3,1735,1735,1735
11/23/2012,1751.3,1735,1735,1735
11/24/2012,1749.5,1750.3,1750.5,1749.4
11/25/2012,1749.5,1750.3,1750.5,1749.4
11/26/2012,1749.5,1750.3,1750.5,1749.4
11/27/2012,1742.2,1746.4,1746.4,1745.2
11/28/2012,1716.5,1739.8,1739.8,1716.3
11/29/2012,1727.2,1719.6,1729,1717.7
11/30/2012,1710.9,1725.2,1731.2,1708.4
12/1/2012,1719.6,1714.9,1721.9,1714.5
12/2/2012,1719.6,1714.9,1721.9,1714.5
12/3/2012,1719.6,1714.9,1721.9,1714.5
12/4/2012,1694.4,1716.3,1716.8,1691.6
12/5/2012,1692.4,1697.1,1706,1685
12/6/2012,1700.3,1694.3,1702.1,1686.4
12/7/2012,1704,1701.2,1704.5,1684
12/8/2012,1713,1704.2,1717,1704.2
12/9/2012,1713,1704.2,1717,1704.2
12/10/2012,1713,1704.2,1717,1704.2
12/11/2012,1708.2,1710,1714.1,1705.9
12/12/2012,1716.6,1710.1,1722.3,1708
12/13/2012,1695.6,1707.2,1707.2,1689.9
12/14/2012,1695.8,1698.3,1699.2,1694.4
12/15/2012,1697,1690.5,1698.5,1689.5
12/16/2012,1697,1690.5,1698.5,1689.5
12/17/2012,1697,1690.5,1698.5,1689.5
12/18/2012,1669.5,1701.4,1702.8,1661
12/19/2012,1666.5,1675.3,1676,1664.6
12/20/2012,1644.9,1667.9,1671,1637.6
12/21/2012,1659.1,1648,1656.7,1635.8
12/22/2012,1658.6,1657.7,1663.8,1654.9
12/23/2012,1658.6,1657.7,1663.8,1654.9
12/24/2012,1658.6,1657.7,1663.8,1654.9
12/25/2012,1659.8,1654.5,1666.7,1654.5
12/26/2012,1659.8,1654.5,1666.7,1654.5
12/27/2012,1662.6,1656.2,1662.1,1656.2
12/28/2012,1654.9,1664,1664,1653.7
12/29/2012,1674.8,1655.4,1677.1,1655.4
12/30/2012,1674.8,1655.4,1677.1,1655.4
12/31/2012,1674.8,1655.4,1677.1,1655.4
1/1/2013,1687.9,1672.8,1693.8,1670
1/2/2013,1687.9,1672.8,1693.8,1670
1/3/2013,1673.7,1686.1,1686.8,1662
1/4/2013,1648.1,1647,1658.3,1625.7
1/5/2013,1645.5,1656.5,1659.9,1643.8
1/6/2013,1645.5,1656.5,1659.9,1643.8
1/7/2013,1645.5,1656.5,1659.9,1643.8
1/8/2013,1661.5,1647.7,1659.5,1647.7
1/9/2013,1654.8,1658.6,1662.1,1651.2
1/10/2013,1677.3,1672.5,1673.8,1672.5
1/11/2013,1660,1673.1,1673.1,1654.2
1/12/2013,1668.9,1665.4,1673.8,1664.1
1/13/2013,1668.9,1665.4,1673.8,1664.1
1/14/2013,1668.9,1665.4,1673.8,1664.1
1/15/2013,1683.4,1671.6,1684.3,1671.6
1/16/2013,1682.7,1674.4,1680.5,1674.4
1/17/2013,1690.4,1676.4,1694.6,1671
1/18/2013,1686.6,1687.4,1692,1687.3
1/19/2013,1692.8,1690.3,1694.7,1687.8
1/20/2013,1692.8,1690.3,1694.7,1687.8
1/21/2013,1692.8,1690.3,1694.7,1687.8
1/22/2013,1692.8,1690.3,1694.7,1687.8
1/23/2013,1686.3,1691.3,1693.7,1685.2
1/24/2013,1669.5,1680.8,1681.7,1668
1/25/2013,1656.4,1663,1663,1657.2
1/26/2013,1652.4,1651.6,1655.5,1651.6
1/27/2013,1652.4,1651.6,1655.5,1651.6
1/28/2013,1652.4,1651.6,1655.5,1651.6
1/29/2013,1660.7,1661.2,1661.5,1660.7
1/30/2013,1679.9,1662.4,1683.2,1661.8
1/31/2013,1660.6,1675.4,1680,1657.4
2/1/2013,1669.4,1663.9,1681.2,1659.9
2/2/2013,1675.3,1668,1676.5,1661.6
2/3/2013,1675.3,1668,1676.5,1661.6
2/4/2013,1675.3,1668,1676.5,1661.6
2/5/2013,1672.4,1674.2,1683.4,1666.5
2/6/2013,1677.7,1672.2,1678.5,1668
2/7/2013,1670.4,1677,1682.1,1663.1
2/8/2013,1666,1671.5,1672.5,1664.8
2/9/2013,1648.2,1666.5,1668,1643.7
2/10/2013,1648.2,1666.5,1668,1643.7
